VENDOR	CODE	BARCODE	BARCODE_DISPLAY	NAME_KR	NAME_EN	SIZE
Hanmi	83507	087703835078	0 87703 83507 8	동원양반백합우거지된장	DW Soybean Pt. Soup w/Venus Clam	20/460g
Hanmi	83544	087703835443	0 87703 83544 3	동원양반나주식곰탕	DONGWON Beef Stock Soup	20/460g
Hanmi	83545	087703835450	0 87703 83545 0	동원수라보양추어탕	DW Vegetable&Loach Soup	20/460 g
Hanmi	16306	087703163065	0 87703 16306 5	꿀유자차(수라상)	CITRON TEA WITH HONEY	12/2.2LB(1KG)
Hanmi	01422	087703014220	0 87703 01422 0	꿀생강모과차(수라상)	GINGER & CHINESE QUINCE TEA WITH HONEY IN BOTTLE	12/2.2LBS(1KG)
Hanmi	17012	087703170124	0 87703 17012 4	꿀생강차(수라상)	GINGER TEA WITH HONEY	12/2.2LB(1KG)
Hanmi	17010	087703170100	0 87703 17010 0	꿀대추차(수라상)	JUJUBE TEA WITH HONEY	12/2.2LB(1KG)
Hanmi	01630	087703016309	0 87703 01630 9	꿀패션후르츠차(수라상)	PASSION FRUIT HONEY PUREE IN BOTTLE	12/2.2LBS(1KG)
Hanmi	00556	087703005563	0 87703 00556 3	다정인삼생강차	Ginseng Ginger Tea	15/580 g
Hanmi	16305	087703163058	0 87703 16305 8	꿀유자차(수라상)	CITRON TEA WITH HONEY	15/20.46OZ(580G)
Hanmi	18313	087703183131	0 87703 18313 1	꿀생강유자차(수라상)	CITRON TEA WITH HONEY GINGER	15/20.46OZ(580G)
Hanmi	04705	087703047051	0 87703 04705 1	꿀패션후르츠차(수라상)	PASSION FRUIT HONEY PUREE	12/1.21LB(550G)
Hanmi	01264	087703012646	0 87703 01264 6	배도라지차(수라상)	PEAR & PLATYCODON ROOT TEA IN BOTTLE	12/1.21LB(550G)
Hanmi	11903	087703119031	0 87703 11903 1	꿀패션후르츠망고차	HONEY PASSION FRUIT MANGO TEA	15/560g
Hanmi	10378	087703103788	0 87703 10378 8	현미녹차(수라상)티백	GREEN TEA WITH ROASTED BROWN RICE	15/150/0.04OZ(1.2G)
Hanmi	10800	087703108004	0 87703 10800 4	둥굴레차(수라상)티백	SOLOMON'S SEAL TEA	15/150/0.04OZ(1.2G)
Hanmi	17819	087703178199	0 87703 17819 9	메밀차(수라상)티백	BUCKWHEAT TEA	15/100/0.056OZ(1.6G)
Hanmi	10941	087703109414	0 87703 10941 4	녹차(수라상)티백	GREEN TEA	15/100/0.035OZ(1G)
Hanmi	24189	087703241893	0 87703 24189 3	우엉차(수라상)티백	BURDOCK TEA	30/100/0.105OZ(3G)
Hanmi	17224	087703172241	0 87703 17224 1	유기농녹차(수라상)티백	ORGANIC GREEN TEA	20/50/0.04OZ(1.2G)
Hanmi	17225	087703172258	0 87703 17225 8	유기농현미녹차(수라상)티백	ORGANIC GREEN TEA WITH BROWN RICE	30/50/0.04OZ(1.2G)
Hanmi	02265	087703022652	0 87703 02265 2	옥수수차(동서)주전자용	ROASTED CORN TEA	30/15/0.35OZ(10G)
Hanmi	14955	087703149557	0 87703 14955 7	녹차원유기농녹차가루	Organic Greentea powder	20/50G
Hanmi	00941	087703009417	0 87703 00941 7	보리차(수라상)	ROASTED BARLEY FOR BEVERAGE	12/2LB(907G)
Hanmi	00117	087703001176	0 87703 00117 6	보리차(수라상)	ROASTED BARLEY FOR BEVERAGE	5/4LB(1.8KG)
Hanmi	00945	087703009455	0 87703 00945 5	옥수수차(수라상)	ROASTED CORN FOR BEVERAGE	12/2LB(907G)
Hanmi	03968	087703039681	0 87703 03968 1	옥수수차(수라상)	ROASTED CORN FOR BEVERAGE	5/4LB(1.8KG)
Hanmi	17679	087703176799	0 87703 17679 9	메밀차(왕)통	ROASTED BUCKWHEAT TEA	12/10.58OZ(300G)
Hanmi	21410	087703214101	0 87703 21410 1	우엉차(왕)통	ROASTED BURDOCK FOR BEVERAGE	12/7.05OZ(200G)
Hanmi	03627	087703036277	0 87703 03627 7	결명자차(왕)통	ROASTED CASSIA SEED FOR BEVERAGE	12/22OZ(625G)
Hanmi	24566	087703245662	0 87703 24566 2	볶은율무차(왕)통	ROASTED ADLAY FOR BEVERAGE	12/7.4OZ(210G)
Hanmi	24567	087703245679	0 87703 24567 9	볶은현미차(왕)통	ROASTED BROWN RICE FOR BEVERAGE	12/7.4OZ(210G)
Hanmi	24568	087703245686	0 87703 24568 6	여주차(왕)통	BITTER GOURD FOR BEVERAGE	12/2.12OZ(60G)
Hanmi	08598	087703085985	0 87703 08598 5	구겐오트밀20곡미숫가루	GUGEN Oatmeal 20 Mixed Grain Powder	8/7oz.
Hanmi	08599	087703085992	0 87703 08599 2	구겐호두아몬드율무차	GUGEN Walnut Almond Powder	8/7oz.
Hanmi	16787	087703167872	0 87703 16787 2	마가들어간15곡미숫가루(담터)	KOREAN YAM TEA	8/40/0.7OZ(20G)
Hanmi	18583	087703185838	0 87703 18583 8	담터호두아몬드율무차	Powderde Cereal Mix in Pack	8/50T/0.6
Hanmi	34390	087703343900	0 87703 34390 0	검은콩,검은참깨,흑미미숫가루D010 4/14	Black Grain Mix Powder 40sticks	8/40ct/20g
Hanmi	34392	087703343924	0 87703 34392 4	슈퍼곡물12곡미숫가루D010 4/14	12 Super Grain Mix Powder 40sticks	8/40ct/20g
Hanmi	16198	087703161986	0 87703 16198 6	호두아몬드율무차(담터)	POWDERED CEREAL MIX	20/15/0.63OZ(18G)
Hanmi	16221	087703162211	0 87703 16221 1	담터생강차plus	Korean Ginger Tea	20/15T/0.52oz
Hanmi	16223	087703162235	0 87703 16223 5	담터쌍화차plus	Korean Herb Tea(SsangWhaCha)	20/15T/0.52oz
